timestamp,num_layers,num_heads,d_model,d_ff,context_length,batch_size,only_forward,mean_s,std_s
2025-07-28T03:40:02,48,25,1600,6400,256,4,True,0.11890401691198349,0.10508422553539276,False
2025-07-28T03:40:26,48,25,1600,6400,512,4,False,0.5519455671310425,0.0013329345965757966,False
2025-07-28T03:40:46,48,25,1600,6400,512,4,False,0.5911273956298828,0.12606796622276306,False
2025-07-28T03:41:05,48,25,1600,6400,512,4,True,0.17145274579524994,0.0009309701854363084,False
2025-07-28T03:41:22,48,25,1600,6400,512,4,True,0.20151939988136292,0.09660070389509201,False
2025-07-28T03:41:39,48,25,1600,6400,1024,4,False,,,True
2025-07-28T03:41:54,48,25,1600,6400,1024,4,False,,,True
2025-07-28T03:42:17,48,25,1600,6400,1024,4,True,0.4296485483646393,0.0008709044777788222,False
2025-07-28T03:42:36,48,25,1600,6400,1024,4,True,0.4613375663757324,0.10045623034238815,False
2025-07-28T03:43:02,32,32,2560,10240,128,4,False,0.21258726716041565,0.0010116011835634708,False
2025-07-28T03:43:27,32,32,2560,10240,128,4,False,0.25500863790512085,0.13895168900489807,False
2025-07-28T03:43:50,32,32,2560,10240,128,4,True,0.055367033928632736,0.0001909257407533005,False
2025-07-28T03:44:14,32,32,2560,10240,128,4,True,0.08852624148130417,0.10419271141290665,False
2025-07-28T03:44:41,32,32,2560,10240,256,4,False,0.3558574914932251,0.0008185014594346285,False
2025-07-28T03:45:08,32,32,2560,10240,256,4,False,0.39695805311203003,0.13102474808692932,False
2025-07-28T03:45:31,32,32,2560,10240,256,4,True,0.10302473604679108,0.001052294159308076,False
2025-07-28T03:45:55,32,32,2560,10240,256,4,True,0.13345906138420105,0.09569953382015228,False
2025-07-28T03:46:28,32,32,2560,10240,512,4,False,0.7010033130645752,0.0005824793479405344,False
2025-07-28T03:46:57,32,32,2560,10240,512,4,False,0.7372509241104126,0.11349757015705109,False
2025-07-28T03:47:24,32,32,2560,10240,512,4,True,0.21758298575878143,0.0008955953526310623,False
2025-07-28T03:47:49,32,32,2560,10240,512,4,True,0.24744176864624023,0.09825126081705093,False
2025-07-28T03:48:12,32,32,2560,10240,1024,4,False,,,True
2025-07-28T03:48:31,32,32,2560,10240,1024,4,False,,,True
2025-07-28T03:49:01,32,32,2560,10240,1024,4,True,0.4972253441810608,0.001080322777852416,False
2025-07-28T03:49:29,32,32,2560,10240,1024,4,True,0.5288539528846741,0.10022909939289093,False
